transaction_id,project_id,buyer_address,seller_address,amount_credits,price_per_credit,total_value_usd,transaction_date,days_since_last_tx,buyer_tx_count,seller_tx_count,price_deviation_pct,is_fraud
TX-100000,VCS-1144,0x0000000fc9c60d945eef5572f07852403d8f95f4,0x0000000f453d3dc713a5f98244e80cf8ad5229dd,640,32.26,20648.95,2020-11-28,10,194,190,-2.03,0
TX-100001,VCS-1013,0x00000005c7046077c4b176d1cf4a5a8b1901ef87,0x0000000db658b07d814ed9aec4f3ab229879cf35,4112,46.51,191256.73,2021-12-09,24,8,163,4.48,0
TX-100002,VCS-1110,0x0000000f9972c9e01f3f963b0d65d1fe2f8c83e5,0x0000001c3beefbec27a1493f251219d415f00cb4,2924,44.6,130423.92,2022-02-07,18,64,183,-0.19,0
TX-100003,VCS-1189,0x000000050b97ea6fe59a8680b077299d63be441d,0x0000000e622b344cd82e4a7d50cb2df901547950,460984,69.85,32199107.06,2020-11-11,2,195,70,390.0,1
TX-100004,VCS-1104,0x000000144aeb1efda034ef66661e702a1a7167c7,0x0000000db921f879225d12aef83562ac17d30f32,4572,6.57,30058.43,2022-11-15,18,99,4,-1.38,0
TX-100005,VCS-1146,0x0000000851c8a60538b48b348acf1fde85671b58,0x0000001235074d54d65a9d0da43d361a238b05b7,4593,17.69,81229.75,2021-05-12,29,38,17,-8.31,0
TX-100006,VCS-1063,0x000000168854b0c208309551ff678baab88cddde,0x0000000c13006fb2a4a63761d49bc21f320f72c0,640,14.01,8963.88,2021-05-30,12,2,102,-4.0,0
TX-100007,VCS-1110,0x0000001642681b1bd62d006b823e6433982a2277,0x0000000d6af1607cbcaead9011640393f280df1d,2709,30.81,83476.86,2021-11-16,15,46,102,6.08,0
TX-100008,VCS-1083,0x0000000fb97f8b275a49759aa727169760452909,0x0000000980a9807377dfa0a57c8d171a5d71a898,4032,15.84,63847.07,2021-05-11,19,152,140,3.9,0
TX-100009,VCS-1112,0x00000005a1aea5c15e128f40a9fa051fcc351e4f,0x00000010bbd91ac654f3d750386df7a1d1a7ba20,3791,31.91,120954.36,2021-03-05,23,173,128,-9.46,0
TX-100010,VCS-1096,0x0000001289632ffe86e23ae4d25b5fd812ef6101,0x000000145b66bfaf3a5781d03e05a746eb9ed274,1272,14.94,19005.53,2022-05-16,23,10,93,-4.95,0
TX-100011,VCS-1168,0x0000001695f2c6b8b3d8d587ba47322daa2960fd,0x000000189571c26485116c22ef948ae50b570720,706,37.81,26695.93,2021-05-23,4,166,103,1.88,0
TX-100012,VCS-1066,0x000000147520eccd48756f63e221040438d5101f,0x0000001128e687cd1c864d640f701ccc949cd8d4,877,17.93,15724.54,2020-07-20,1,96,101,5.92,0
